Item,Quantity,Estimated Price (USD),Source,Purpose
Tang Nano 20K,1,"35-40","https://rees52.com/products/sipeed-tang-nano-20k-fpga-board-high-performance-dev-board-for-robotics-electronics","Main FPGA for trigger generation, timing/synchronization, counters, buffering/FIFOs, deterministic logic, and control"
Tang Primer 20K Carrier PCB,1,20,"Self-designed","Carrier PCB for the Tang Primer 20K core module already owned"
Passive Probe PCB,1,15,"Self-designed","Shielded PCB H-field probe"
Active Probe PCB,1,25,"Self-designed","Integrated low-noise amplifier PCB"
Probe Calibration PCB,1,15,"Self-designed","Repeatable EM reference source"
RTL-SDR,1,"30-40","https://www.aliexpress.com/item/1005005952566458.html","Initial low-cost RF capture experiments"
Components for Active Probe PCB,1,"20-40","https://www.minicircuits.com/","Prototype analog front-end components"
SMA Connectors + RG178 + Adapters + Attenuators,1,"30-60","https://www.pasternack.com/ ; https://www.amphenolrf.com/en-us/ ; https://www.minicircuits.com/","RF interconnects and measurement accessories"
Magnet Wire + Ferrites,1,"10-20","https://www.remingtonindustries.com/ ; https://fair-rite.com/","Probe construction materials"
Manual XY Positioning Stage,1,"30-40","https://www.amazon.in/Mechanical-Moveable-Microscope-Caliper-Precision/dp/B07VPQT851","Low-cost manual precision positioning of the EM probe"
PCB Fabrication & Assembly,1,50,"https://jlcpcb.com/","Manufacturing custom PCBs after circuits are validated"
Miscellaneous Passives + Shielding + Perfboard,1,"20-40","DigiKey / Mouser / As Needed","Prototype construction and circuit validation before PCB revision"
FTDI Programmer or SiPEED Programmer,1,"25-50","https://www.mouser.in/en/ProductDetail/FTDI/FT2232H-MINI-MODULE?qs=pB3G9VbQXIf%252BpWyngo5ZjA%3D%3D&mgh=1 ; https://www.aliexpress.com/item/1005011815481146.html","Programming and debugging the FPGA boards"
